epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
128,3886.81,0.65817,0.50138,1.21268,0.97421,0.97529,0.99211,0.84988,0.60947,0.33909,1.16813,0.000131066,0.000131066,0.000131066
129,3917.08,0.65096,0.48472,1.20709,0.98581,0.98042,0.9945,0.85723,0.59413,0.31272,1.14986,0.000127994,0.000127994,0.000127994
130,3947.37,0.65647,0.48352,1.20931,0.98101,0.97472,0.99317,0.85212,0.60975,0.31186,1.17563,0.000124945,0.000124945,0.000124945
131,3977.62,0.64152,0.46992,1.20199,0.97634,0.97624,0.99341,0.83573,0.63772,0.34905,1.2146,0.000121919,0.000121919,0.000121919
132,4007.88,0.65934,0.49499,1.21291,0.98778,0.98042,0.99466,0.84633,0.61888,0.30167,1.19361,0.000118918,0.000118918,0.000118918
133,4038.17,0.64249,0.46881,1.1928,0.98307,0.98294,0.99419,0.85494,0.59719,0.30449,1.16192,0.000115941,0.000115941,0.000115941
134,4068.42,0.65955,0.48173,1.21449,0.98277,0.98544,0.99452,0.85513,0.60044,0.31978,1.16462,0.00011299,0.00011299,0.00011299
135,4098.69,0.63696,0.47836,1.19945,0.98202,0.97941,0.99409,0.86486,0.58255,0.30629,1.13924,0.000110066,0.000110066,0.000110066
136,4128.96,0.62231,0.46091,1.18632,0.97477,0.98498,0.99338,0.85992,0.58526,0.32179,1.14211,0.000107168,0.000107168,0.000107168
137,4159.23,0.64129,0.46886,1.20301,0.96162,0.98641,0.99249,0.86181,0.57289,0.3284,1.1255,0.000104298,0.000104298,0.000104298
138,4189.51,0.63902,0.46915,1.19487,0.96441,0.98177,0.98943,0.86131,0.57046,0.33631,1.12133,0.000101457,0.000101457,0.000101457
139,4219.75,0.64024,0.47208,1.20166,0.98117,0.98578,0.99465,0.85922,0.5862,0.29736,1.14633,9.86444e-05,9.86444e-05,9.86444e-05
140,4250.0,0.63759,0.45099,1.19449,0.97586,0.9815,0.99381,0.85909,0.59352,0.31344,1.15976,9.5862e-05,9.5862e-05,9.5862e-05
